"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-02",,,"11.0","H,,S","22.2",",,S","2.2",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-03",,,"12.5","H,,S",,,"2.2",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-08",,,"2.9","H,,S","12.8",",,S","-2.2",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-10",,,"9.2","H,,S",,,"5.0",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-18",,,"4.2","H,,S","7.8",",,S","2.2",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-19",,,"3.5","H,,S","13.9",",,S","-3.9",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-20",,,"6.5","H,,S","13.9",",,S","0.0",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-21",,,"6.2","H,,S","15.0",",,S",,
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-23",,,"9.6","H,,S","21.1",",,S","1.1",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-24",,,"9.3","H,,S","20.0",",,S","1.1",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-01-25",,,"10.6","H,,S","20.0",",,S","3.9",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-02",,,"7.1","H,,S","16.1",",,S","0.0",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-03",,,"12.8","H,,S",,,"-1.1",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-04",,,"9.3","H,,S","20.0",",,S","1.1",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-05",,,"9.4","H,,S","17.8",",,S","2.8",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-06",,,"11.1","H,,S",,,,
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-08",,,"7.8","H,,S","12.2",",,S","3.9",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-10",,,"8.1","H,,S","15.0",",,S",,
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-11",,,"9.3","H,,S","17.8",",,S","1.1",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-12",,,"11.0","H,,S","15.0",",,S","7.2",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-13",,,"9.4","H,,S","17.8",",,S","2.2",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-14",,,"13.1","H,,S","22.2",",,S","6.1",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-15",,,"14.4","H,,S","23.9",",,S","6.1",",,S"
"AGE00147719","LAGHOUAT, AG","33.7997","2.89","767.0","1960-02-18",,,"16.9","H,,S",,,,
