"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-01","0.5",",,S",,,"10.9","H,,S","19.4",",,S","4.5",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-02",,,,,"10.6","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-03",,,,,"10.6","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-04",,,,,"10.7","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-05",,,,,"9.5","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-06",,,,,"10.2","H,,S",,,"3.4",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-07",,,,,"9.6","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-08",,,,,"9.5","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-09","0.5",",,S",,,"10.6","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-10","0.0",",,S",,,"11.6","H,,S",,,"7.0",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-11",,,,,"12.1","H,,S",,,"9.2",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-12",,,,,"10.2","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-13",,,,,"9.2","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-14",,,,,"9.6","H,,S","18.8",",,S",,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-15",,,,,"11.0","H,,S",,,"2.9",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-16",,,,,"10.3","H,,S","21.1",",,S","1.0",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-17",,,,,"10.8","H,,S",,,"1.7",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-18",,,,,"10.9","H,,S",,,"2.2",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-19","0.3",",,S",,,"11.3","H,,S",,,"5.3",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-20","5.1",",,S",,,"9.2","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-21","2.0",",,S",,,"8.3","H,,S","14.1",",,S","2.7",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-22","0.0",",,S",,,"9.7","H,,S",,,"3.9",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-23",,,,,"11.4","H,,S",,,"7.7",",,S"
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-24",,,,,"11.9","H,,S","16.9",",,S",,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-25","5.1",",,S",,,"12.1","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-26","7.9",",,S",,,"11.6","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-27","0.0",",,S",,,"9.9","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-28",,,,,"11.2","H,,S","21.7",",,S",,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-29","0.5",",,S",,,"12.1","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-30","0.0",",,S",,,"13.0","H,,S",,,,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-01-31",,,,,"12.4","H,,S","23.2",",,S",,
"MO000060156","NOUASSEUR, MO","33.367","-7.583","206.0","2020-02-01",,,,,"13.0","H,,S",,,"4.5",",,S"
