"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-02",,,,,"11.8","H,,S","17.8",",,I","7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-03",,,,,"12.1","H,,S",,,"6.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-06",,,,,"10.0","H,,S","16.1",",,I","3.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-07",,,,,"11.5","H,,S","16.1",",,I","7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-08",,,,,"9.7","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-09",,,,,"9.7","H,,S","15.0",",,I","5.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-11",,,,,"12.6","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-12",,,,,"9.6","H,,S","12.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-15",,,,,"7.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-17",,,,,"7.6","H,,S",,,"5.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-20",,,,,"9.4","H,,S","16.1",",,I","2.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-21",,,,,"11.1","H,,S",,,"7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-22",,,,,"11.5","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-25",,,,,"11.4","H,,S","20.0",",,I","6.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-26",,,,,"12.9","H,,S",,,"7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-28",,,,,"12.2","H,,S","23.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-29",,,,,"9.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-30",,,,,"9.6","H,,S","13.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-01-31",,,,,"11.0","H,,S",,,"7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-01",,,,,"13.1","H,,S","16.1",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-02",,,,,"9.8","H,,S","17.2",",,I","5.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-04",,,,,"10.7","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-05",,,,,"12.4","H,,S","18.9",",,I","7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-07",,,,,"14.8","H,,S",,,"10.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-08",,,,,"13.5","H,,S","20.0",",,I","8.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-10",,,,,"13.5","H,,S","17.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-11",,,,,"11.8","H,,S","13.9",",,I","10.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-12",,,,,"14.6","H,,S","25.0",",,I","7.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-14",,,,,"11.2","H,,S","17.2",",,I","6.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-15",,,,,"17.5","H,,S","23.9",",,I","10.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-16",,,,,"15.8","H,,S","20.0",",,I","11.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-17",,,,,"20.7","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-18",,,,,"24.0","H,,S","32.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-19",,,,,"17.5","H,,S","22.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-20",,,,,"18.2","H,,S","27.2",",,I","12.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-21",,,,,"16.7","H,,S",,,"7.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-23",,,,,"16.1","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-25",,,,,"18.2","H,,S","27.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-28",,,,,"14.3","H,,S","20.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-02-29",,,,,"13.5","H,,S","18.9",",,I","7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-02",,,,,"16.4","H,,S","21.1",",,I","13.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-03",,,,,"17.2","H,,S",,,"13.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-05",,,,,"17.3","H,,S","21.1",",,I","12.8",",,I"
